first_name,last_name,email,password,role,phone
Ricardo,García,ricardo.garcia@gmail.com,password123,guardian,261-4152374
José,Rodríguez,jose.rodriguez@gmail.com,password123,guardian,261-4867523
Juan,Martínez,juan.martinez@gmail.com,password123,guardian,261-5234891
Esteban,López,esteban.lopez@gmail.com,password123,guardian,261-4398217
Luis,Sánchez,luis.sanchez@gmail.com,password123,guardian,261-5671043
Hugo,González,hugo.gonzalez@gmail.com,password123,guardian,261-4923856
Carlos,Pérez,carlos.perez@gmail.com,password123,guardian,261-5102749
Rodrigo,Fernández,rodrigo.fernandez@gmail.com,password123,guardian,261-4756382
Miguel,Romero,miguel.romero@gmail.com,password123,guardian,261-5389124
Mateo,Torres,mateo.torres@gmail.com,password123,guardian,261-4641975
Antonio,Díaz,antonio.diaz@gmail.com,password123,guardian,261-5873026
Sergio,Flores,sergio.flores@gmail.com,password123,guardian,261-4218637
Pedro,Moreno,pedro.moreno@gmail.com,password123,guardian,261-5964812
Rafael,Jiménez,rafael.jimenez@gmail.com,password123,guardian,261-4073591
Francisco,Ruiz,francisco.ruiz@gmail.com,password123,guardian,261-5427368
Marco,Herrera,marco.herrera@gmail.com,password123,guardian,261-4891234
Manuel,Medina,manuel.medina@gmail.com,password123,guardian,261-5156789
Adrián,Reyes,adrian.reyes@gmail.com,password123,guardian,261-4562301
Jorge,Muñoz,jorge.munoz@gmail.com,password123,guardian,261-5834567
Rubén,Álvarez,ruben.alvarez@gmail.com,password123,guardian,261-4278923
Alejandro,Cruz,alejandro.cruz@gmail.com,password123,guardian,261-5691045
Samuel,Ramos,samuel.ramos@gmail.com,password123,guardian,261-4413678
Roberto,Ortega,roberto.ortega@gmail.com,password123,guardian,261-5927834
Patricio,Gutiérrez,patricio.gutierrez@gmail.com,password123,guardian,261-4785231
Fernando,Silva,fernando.silva@gmail.com,password123,guardian,261-5048396
Gustavo,Vega,gustavo.vega@gmail.com,password123,guardian,261-4362817
Diego,Castro,diego.castro@gmail.com,password123,guardian,261-5719234
Enrique,Vargas,enrique.vargas@gmail.com,password123,guardian,261-4534108
Pablo,Gómez,pablo.gomez@gmail.com,password123,guardian,261-5876542
Lorenzo,Molina,lorenzo.molina@gmail.com,password123,guardian,261-4190673
